"Id","591384bb8782c4a40cc47b76","64eecc47835af0bc169ce6c9","591384bb8782c4a40cc47b79"
"Timestamp","dsit10/112 - Johnstone/1120053 - JRI - Johnstone River at Innisfail/Real-time Data/Innisfail Logger/HeightOffsets - ADCPLevelOffset","dsit10/112 - Johnstone/1120053 - JRI - Johnstone River at Innisfail/Real-time Data/Innisfail Logger/HeightOffsets - Intake","dsit10/112 - Johnstone/1120053 - JRI - Johnstone River at Innisfail/Real-time Data/Innisfail Logger/HeightOffsets - OldADCPO"
"Units","","",""
2017-05-10 17:53:00,15.47,,0
2017-06-16 09:19:00,15.47,,0
2017-06-20 18:36:00,15.47,,0
2017-06-21 18:18:00,15.47,,15.47
2017-06-23 09:08:00,15.47,,0
2017-07-19 10:47:00,15.47,,0
2017-09-26 07:28:00,15.47,,0
2017-09-26 08:06:00,15.47,,0
2017-09-26 08:31:00,15.47,,0
2017-09-26 08:45:00,15.47,,0
2017-10-12 16:42:00,15.47,,15.47
2017-10-25 15:20:00,15.47,,0
2017-10-25 18:05:00,15.47,,0
2017-10-30 20:21:00,15.47,,15.47
2017-11-08 10:02:00,15.47,,0
2017-11-09 07:12:00,15.47,,0
2018-01-19 11:05:00,15.47,,0
2018-02-11 06:11:00,15.47,,15.47
2018-11-05 17:49:00,15.47,,0
2018-11-07 09:44:00,15.47,,0
2019-01-06 17:51:00,15.47,,15.47
2019-01-07 10:36:00,15.47,,15.47
2019-01-07 12:19:00,15.47,,0
2019-01-07 12:50:00,15.47,,0
2019-01-15 09:01:00,15.47,,0
2019-01-16 13:20:00,15.47,,0
2019-01-16 14:53:00,15.47,,0
2019-05-15 08:38:00,15.47,,0
2019-05-23 15:42:00,15.47,,0
2020-07-06 10:32:00,15.47,,0
2020-07-09 08:17:00,15.47,,0
2020-08-06 20:47:00,15.47,,0
2020-09-01 16:50:00,15.47,,0
2021-04-26 12:48:00,15.47,,0
2021-09-09 07:13:00,15.47,,0
2021-10-22 15:17:00,15.47,,0
2022-03-31 07:46:00,15.47,,0
2022-10-06 16:53:00,15.47,,0
2022-10-07 04:17:00,15.47,,15.47
2022-10-07 04:39:00,15.79,,15.47
2022-10-07 09:18:00,15.79,,0
2023-01-16 07:07:00,15.79,,15.79
2023-01-16 07:10:00,15.79,,15.79
2023-01-17 07:18:00,15.79,,15.79
2023-01-17 07:19:00,15.79,,15.79
2023-02-16 08:08:00,15.79,,15.79
2023-02-16 09:02:00,15.79,,15.79
2023-02-16 13:27:00,15.79,,15.79
2023-02-16 13:28:00,15.79,,15.79
2023-02-17 07:29:00,15.79,,15.79
2023-02-17 07:32:00,15.79,,15.79
2023-02-17 08:10:00,15.79,,15.79
2023-02-17 08:14:00,15.79,,15.79
2023-02-19 07:19:00,15.79,,15.79
2023-02-19 07:21:00,15.79,,15.79
2023-02-20 07:00:00,15.79,,15.79
2023-02-20 07:01:00,15.79,,15.79
2023-02-20 07:18:00,15.79,,15.79
2023-02-20 07:26:00,15.79,,15.79
2023-02-24 07:55:00,15.79,,15.79
2023-02-24 08:12:00,15.79,,15.79
2023-02-24 08:59:00,15.79,,15.79
2023-02-24 09:25:00,15.79,,15.79
2023-02-24 09:52:00,15.79,,15.79
2023-02-24 09:54:00,15.79,,15.79
2023-02-24 11:19:00,15.79,,15.79
2023-02-24 11:20:00,15.79,,15.79
2023-02-25 07:07:00,15.79,,15.79
2023-02-25 07:11:00,15.79,,15.79
2023-02-27 07:20:00,15.79,,15.79
2023-02-27 07:25:00,15.79,,15.79
2023-02-28 07:18:00,15.79,,15.79
2023-02-28 07:23:00,15.79,16,15.79
