"Id","5913e1da8b0ee5cf0c53b209","5b7de8ab463f260f62cebb7c","5913e1da8b0ee5cf0c53b206"
"Timestamp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Conductivity","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - SondeTemp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Turbidity"
"Units","uS/cm","","NTU"
2017-05-11 14:20:00,13502.1,,12.79
2017-05-11 15:20:00,10304,,11.93
2017-05-11 16:20:00,5588.08,,10.34
2017-05-11 17:20:00,13937,,24.02
2017-05-11 18:20:00,44761.4,,18.46
2017-05-11 19:20:00,48549.6,,12.99
2017-05-11 20:20:00,49998.1,,9.92
2017-05-11 21:20:00,50055,,12.33
2017-05-11 22:20:00,50459.1,,9.24
2017-05-11 23:20:00,50508,,8.19
2017-05-12 00:20:00,32929.9,,17.95
2017-05-12 01:20:00,25838.8,,10.87
2017-05-12 02:20:00,21030.5,,9.1
2017-05-12 03:20:00,17980.4,,7.08
2017-05-12 04:20:00,14512,,8.76
2017-05-12 05:20:00,13095.2,,6.25
2017-05-12 06:20:00,26340.6,,10.19
2017-05-12 07:20:00,47302.3,,14.67
2017-05-12 08:20:00,49623.9,,12.87
2017-05-12 09:20:00,49886.6,,16.36
2017-05-12 10:20:00,39859.7,,9.92
2017-05-12 11:20:00,43074.7,,12.83
2017-05-12 12:20:00,23678.4,,8.44
2017-05-12 13:20:00,21252.6,,11.69
2017-05-12 14:20:00,17218,,11.7
2017-05-12 15:20:00,12922.1,,16.14
2017-05-12 16:20:00,7836.01,,10.92
2017-05-12 17:20:00,9509.24,,10.47
2017-05-12 18:20:00,42051.9,,19.58
2017-05-12 19:20:00,47192.2,,9.4
2017-05-12 20:20:00,49081,,10.21
2017-05-12 21:20:00,50366.2,,7.08
2017-05-12 22:20:00,50504.4,,8.69
2017-05-12 23:20:00,50700.2,,7.73
2017-05-13 00:20:00,38500.8,,6.78
2017-05-13 01:20:00,33013.7,,13.75
2017-05-13 02:20:00,29719.3,,8.29
2017-05-13 03:20:00,19159.5,,9.12
2017-05-13 04:20:00,16072.4,,7.22
2017-05-13 05:20:00,13258.1,,5.86
2017-05-13 06:20:00,12310.5,,6.74
2017-05-13 07:20:00,27424.6,,8.63
2017-05-13 08:20:00,40281.3,,11.51
2017-05-13 09:20:00,48570.8,,11.57
2017-05-13 10:20:00,41978.5,,7.63
2017-05-13 11:20:00,41758.2,,8.56
2017-05-13 12:20:00,23416.8,,7.66
2017-05-13 13:20:00,18902.2,,5.78
2017-05-13 14:20:00,15469.4,,6.02
2017-05-13 15:20:00,14258.4,,7.96
